record_type,bridge_rule,comparison,block_geoid,slr_ft,block_centroid_inundated,block_centroid_isolated,block_centroid_redundant,block_centroid_fragile,scenario_status,block_centroid_unclassified,status_flag_sum
status_partition_violation,intersect,,120119800001012,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001014,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001020,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001021,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001022,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001023,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001024,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001037,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001050,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001051,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001052,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001053,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001057,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001058,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001059,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120119800001072,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860107061000,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081056,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081057,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081058,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081060,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081069,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081071,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081072,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081073,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081074,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081089,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081090,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081091,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081092,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081096,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081099,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081100,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081112,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114081119,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123040,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123053,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123055,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123056,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123057,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123058,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860114123059,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003000,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003001,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003002,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003003,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003004,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003005,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003006,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003007,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003022,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003023,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003030,0,0,0,0,0,unclassified,1,0
status_partition_violation,intersect,,120860115003031,0,0,0,0,0,unclassified,1,0
