record_type,bridge_rule,service_type,service_count,singleton_count,singleton_share,pre_fix_share,share_delta,source,moved_count,moved_share,added_distance_median_m,added_distance_p90_m,added_distance_max_m,exceeds_max_service_snap_count,pre_fix_added_distance_median_m
singleton_2ecc,intersect,all,2190,29.0,0.013242009132420091,0.263,-0.2497579908675799,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_intersect\service_snapping_audit.csv,,,,,,,
singleton_2ecc,intersect,fire_station,334,11.0,0.03293413173652695,0.451,-0.4180658682634731,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_intersect\service_snapping_audit.csv,,,,,,,
singleton_2ecc,intersect,school,1856,18.0,0.009698275862068966,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_intersect\service_snapping_audit.csv,,,,,,,
resnapping,intersect,all,2190,,,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_intersect\service_snapping_audit.csv,574.0,0.26210045662100456,13.707853500165314,40.136101333981884,669.923847056848,27.0,13.5
singleton_2ecc,approach,all,2190,29.0,0.013242009132420091,0.263,-0.2497579908675799,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_canonical\service_snapping_audit.csv,,,,,,,
singleton_2ecc,approach,fire_station,334,11.0,0.03293413173652695,0.451,-0.4180658682634731,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_canonical\service_snapping_audit.csv,,,,,,,
singleton_2ecc,approach,school,1856,18.0,0.009698275862068966,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_canonical\service_snapping_audit.csv,,,,,,,
resnapping,approach,all,2190,,,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_canonical\service_snapping_audit.csv,574.0,0.26210045662100456,13.707853500165314,40.136101333981884,669.923847056848,27.0,13.5
singleton_2ecc,retain,all,2190,29.0,0.013242009132420091,0.263,-0.2497579908675799,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_retain\service_snapping_audit.csv,,,,,,,
singleton_2ecc,retain,fire_station,334,11.0,0.03293413173652695,0.451,-0.4180658682634731,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_retain\service_snapping_audit.csv,,,,,,,
singleton_2ecc,retain,school,1856,18.0,0.009698275862068966,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_retain\service_snapping_audit.csv,,,,,,,
resnapping,retain,all,2190,,,,,C:\Users\Vivek\Dropbox\repos\slr_fl_fragile_access\data\processed\access\edited\della_runs\corrected_retain\service_snapping_audit.csv,574.0,0.26210045662100456,13.707853500165314,40.136101333981884,669.923847056848,27.0,13.5
