record_type,bridge_rule,universe,baseline_status,criterion,flag_value,block_count
filter_count,intersect,baseline,all,blocks_before_filtering,,70695
filter_count,intersect,baseline,all,blocks_after_analysis_eligible,,68521
filter_count,intersect,baseline,all,blocks_after_population_criterion,,55411
filter_count,intersect,baseline,all,blocks_after_land_area_criterion,,68676
filter_count,intersect,baseline,all,blocks_after_population_and_land_criteria,,55394
filter_count,intersect,baseline,all,blocks_after_comparison_analysis_universe,,55381
filter_count,intersect,baseline,all,dropped_by_population_from_pipeline_eligible,,13140
filter_count,intersect,baseline,all,dropped_by_zero_land_from_full_universe,,2019
filter_count,intersect,baseline,all,dropped_population_only,,13282
filter_count,intersect,baseline,all,dropped_land_area_only,,17
filter_count,intersect,baseline,all,dropped_both_population_and_land,,2002
status_crosstab,intersect,all_blocks,fragile,pop20_eq_0,False,14804
status_crosstab,intersect,all_blocks,fragile,pop20_eq_0,True,3185
status_crosstab,intersect,all_blocks,inundated,pop20_eq_0,False,105
status_crosstab,intersect,all_blocks,inundated,pop20_eq_0,True,1073
status_crosstab,intersect,all_blocks,isolated,pop20_eq_0,False,375
status_crosstab,intersect,all_blocks,isolated,pop20_eq_0,True,64
status_crosstab,intersect,all_blocks,redundant,pop20_eq_0,False,40115
status_crosstab,intersect,all_blocks,redundant,pop20_eq_0,True,10803
status_crosstab,intersect,all_blocks,unclassified,pop20_eq_0,False,12
status_crosstab,intersect,all_blocks,unclassified,pop20_eq_0,True,159
status_crosstab,intersect,all_blocks,fragile,land_area_m2_eq_0,False,17594
status_crosstab,intersect,all_blocks,fragile,land_area_m2_eq_0,True,395
status_crosstab,intersect,all_blocks,inundated,land_area_m2_eq_0,False,198
status_crosstab,intersect,all_blocks,inundated,land_area_m2_eq_0,True,980
status_crosstab,intersect,all_blocks,isolated,land_area_m2_eq_0,False,436
status_crosstab,intersect,all_blocks,isolated,land_area_m2_eq_0,True,3
status_crosstab,intersect,all_blocks,redundant,land_area_m2_eq_0,False,50303
status_crosstab,intersect,all_blocks,redundant,land_area_m2_eq_0,True,615
status_crosstab,intersect,all_blocks,unclassified,land_area_m2_eq_0,False,145
status_crosstab,intersect,all_blocks,unclassified,land_area_m2_eq_0,True,26
status_crosstab,intersect,analysis_eligible,fragile,pop20_eq_0,False,14801
status_crosstab,intersect,analysis_eligible,fragile,pop20_eq_0,True,2793
status_crosstab,intersect,analysis_eligible,inundated,pop20_eq_0,False,93
status_crosstab,intersect,analysis_eligible,inundated,pop20_eq_0,True,95
status_crosstab,intersect,analysis_eligible,isolated,pop20_eq_0,False,375
status_crosstab,intersect,analysis_eligible,isolated,pop20_eq_0,True,61
status_crosstab,intersect,analysis_eligible,redundant,pop20_eq_0,False,40112
status_crosstab,intersect,analysis_eligible,redundant,pop20_eq_0,True,10191
status_crosstab,intersect,analysis_eligible,fragile,land_area_m2_eq_0,False,17594
status_crosstab,intersect,analysis_eligible,inundated,land_area_m2_eq_0,False,188
status_crosstab,intersect,analysis_eligible,isolated,land_area_m2_eq_0,False,436
status_crosstab,intersect,analysis_eligible,redundant,land_area_m2_eq_0,False,50303
status_crosstab,intersect,comparison_analysis_universe,fragile,pop20_eq_0,False,14801
status_crosstab,intersect,comparison_analysis_universe,inundated,pop20_eq_0,False,93
status_crosstab,intersect,comparison_analysis_universe,isolated,pop20_eq_0,False,375
status_crosstab,intersect,comparison_analysis_universe,redundant,pop20_eq_0,False,40112
status_crosstab,intersect,comparison_analysis_universe,fragile,land_area_m2_eq_0,False,14801
status_crosstab,intersect,comparison_analysis_universe,inundated,land_area_m2_eq_0,False,93
status_crosstab,intersect,comparison_analysis_universe,isolated,land_area_m2_eq_0,False,375
status_crosstab,intersect,comparison_analysis_universe,redundant,land_area_m2_eq_0,False,40112
filter_count,approach,baseline,all,blocks_before_filtering,,70695
filter_count,approach,baseline,all,blocks_after_analysis_eligible,,68521
filter_count,approach,baseline,all,blocks_after_population_criterion,,55411
filter_count,approach,baseline,all,blocks_after_land_area_criterion,,68676
filter_count,approach,baseline,all,blocks_after_population_and_land_criteria,,55394
filter_count,approach,baseline,all,blocks_after_comparison_analysis_universe,,55381
filter_count,approach,baseline,all,dropped_by_population_from_pipeline_eligible,,13140
filter_count,approach,baseline,all,dropped_by_zero_land_from_full_universe,,2019
filter_count,approach,baseline,all,dropped_population_only,,13282
filter_count,approach,baseline,all,dropped_land_area_only,,17
filter_count,approach,baseline,all,dropped_both_population_and_land,,2002
status_crosstab,approach,all_blocks,fragile,pop20_eq_0,False,14700
status_crosstab,approach,all_blocks,fragile,pop20_eq_0,True,3014
status_crosstab,approach,all_blocks,inundated,pop20_eq_0,False,105
status_crosstab,approach,all_blocks,inundated,pop20_eq_0,True,1073
status_crosstab,approach,all_blocks,isolated,pop20_eq_0,False,152
status_crosstab,approach,all_blocks,isolated,pop20_eq_0,True,24
status_crosstab,approach,all_blocks,redundant,pop20_eq_0,False,40442
status_crosstab,approach,all_blocks,redundant,pop20_eq_0,True,11014
status_crosstab,approach,all_blocks,unclassified,pop20_eq_0,False,12
status_crosstab,approach,all_blocks,unclassified,pop20_eq_0,True,159
status_crosstab,approach,all_blocks,fragile,land_area_m2_eq_0,False,17320
status_crosstab,approach,all_blocks,fragile,land_area_m2_eq_0,True,394
status_crosstab,approach,all_blocks,inundated,land_area_m2_eq_0,False,198
status_crosstab,approach,all_blocks,inundated,land_area_m2_eq_0,True,980
status_crosstab,approach,all_blocks,isolated,land_area_m2_eq_0,False,174
status_crosstab,approach,all_blocks,isolated,land_area_m2_eq_0,True,2
status_crosstab,approach,all_blocks,redundant,land_area_m2_eq_0,False,50839
status_crosstab,approach,all_blocks,redundant,land_area_m2_eq_0,True,617
status_crosstab,approach,all_blocks,unclassified,land_area_m2_eq_0,False,145
status_crosstab,approach,all_blocks,unclassified,land_area_m2_eq_0,True,26
status_crosstab,approach,analysis_eligible,fragile,pop20_eq_0,False,14697
status_crosstab,approach,analysis_eligible,fragile,pop20_eq_0,True,2623
status_crosstab,approach,analysis_eligible,inundated,pop20_eq_0,False,93
status_crosstab,approach,analysis_eligible,inundated,pop20_eq_0,True,95
status_crosstab,approach,analysis_eligible,isolated,pop20_eq_0,False,152
status_crosstab,approach,analysis_eligible,isolated,pop20_eq_0,True,22
status_crosstab,approach,analysis_eligible,redundant,pop20_eq_0,False,40439
status_crosstab,approach,analysis_eligible,redundant,pop20_eq_0,True,10400
status_crosstab,approach,analysis_eligible,fragile,land_area_m2_eq_0,False,17320
status_crosstab,approach,analysis_eligible,inundated,land_area_m2_eq_0,False,188
status_crosstab,approach,analysis_eligible,isolated,land_area_m2_eq_0,False,174
status_crosstab,approach,analysis_eligible,redundant,land_area_m2_eq_0,False,50839
status_crosstab,approach,comparison_analysis_universe,fragile,pop20_eq_0,False,14697
status_crosstab,approach,comparison_analysis_universe,inundated,pop20_eq_0,False,93
status_crosstab,approach,comparison_analysis_universe,isolated,pop20_eq_0,False,152
status_crosstab,approach,comparison_analysis_universe,redundant,pop20_eq_0,False,40439
status_crosstab,approach,comparison_analysis_universe,fragile,land_area_m2_eq_0,False,14697
status_crosstab,approach,comparison_analysis_universe,inundated,land_area_m2_eq_0,False,93
status_crosstab,approach,comparison_analysis_universe,isolated,land_area_m2_eq_0,False,152
status_crosstab,approach,comparison_analysis_universe,redundant,land_area_m2_eq_0,False,40439
filter_count,retain,baseline,all,blocks_before_filtering,,70695
filter_count,retain,baseline,all,blocks_after_analysis_eligible,,68521
filter_count,retain,baseline,all,blocks_after_population_criterion,,55411
filter_count,retain,baseline,all,blocks_after_land_area_criterion,,68676
filter_count,retain,baseline,all,blocks_after_population_and_land_criteria,,55394
filter_count,retain,baseline,all,blocks_after_comparison_analysis_universe,,55381
filter_count,retain,baseline,all,dropped_by_population_from_pipeline_eligible,,13140
filter_count,retain,baseline,all,dropped_by_zero_land_from_full_universe,,2019
filter_count,retain,baseline,all,dropped_population_only,,13282
filter_count,retain,baseline,all,dropped_land_area_only,,17
filter_count,retain,baseline,all,dropped_both_population_and_land,,2002
status_crosstab,retain,all_blocks,fragile,pop20_eq_0,False,14725
status_crosstab,retain,all_blocks,fragile,pop20_eq_0,True,3022
status_crosstab,retain,all_blocks,inundated,pop20_eq_0,False,105
status_crosstab,retain,all_blocks,inundated,pop20_eq_0,True,1073
status_crosstab,retain,all_blocks,isolated,pop20_eq_0,False,127
status_crosstab,retain,all_blocks,isolated,pop20_eq_0,True,16
status_crosstab,retain,all_blocks,redundant,pop20_eq_0,False,40442
status_crosstab,retain,all_blocks,redundant,pop20_eq_0,True,11014
status_crosstab,retain,all_blocks,unclassified,pop20_eq_0,False,12
status_crosstab,retain,all_blocks,unclassified,pop20_eq_0,True,159
status_crosstab,retain,all_blocks,fragile,land_area_m2_eq_0,False,17352
status_crosstab,retain,all_blocks,fragile,land_area_m2_eq_0,True,395
status_crosstab,retain,all_blocks,inundated,land_area_m2_eq_0,False,198
status_crosstab,retain,all_blocks,inundated,land_area_m2_eq_0,True,980
status_crosstab,retain,all_blocks,isolated,land_area_m2_eq_0,False,142
status_crosstab,retain,all_blocks,isolated,land_area_m2_eq_0,True,1
status_crosstab,retain,all_blocks,redundant,land_area_m2_eq_0,False,50839
status_crosstab,retain,all_blocks,redundant,land_area_m2_eq_0,True,617
status_crosstab,retain,all_blocks,unclassified,land_area_m2_eq_0,False,145
status_crosstab,retain,all_blocks,unclassified,land_area_m2_eq_0,True,26
status_crosstab,retain,analysis_eligible,fragile,pop20_eq_0,False,14722
status_crosstab,retain,analysis_eligible,fragile,pop20_eq_0,True,2630
status_crosstab,retain,analysis_eligible,inundated,pop20_eq_0,False,93
status_crosstab,retain,analysis_eligible,inundated,pop20_eq_0,True,95
status_crosstab,retain,analysis_eligible,isolated,pop20_eq_0,False,127
status_crosstab,retain,analysis_eligible,isolated,pop20_eq_0,True,15
status_crosstab,retain,analysis_eligible,redundant,pop20_eq_0,False,40439
status_crosstab,retain,analysis_eligible,redundant,pop20_eq_0,True,10400
status_crosstab,retain,analysis_eligible,fragile,land_area_m2_eq_0,False,17352
status_crosstab,retain,analysis_eligible,inundated,land_area_m2_eq_0,False,188
status_crosstab,retain,analysis_eligible,isolated,land_area_m2_eq_0,False,142
status_crosstab,retain,analysis_eligible,redundant,land_area_m2_eq_0,False,50839
status_crosstab,retain,comparison_analysis_universe,fragile,pop20_eq_0,False,14722
status_crosstab,retain,comparison_analysis_universe,inundated,pop20_eq_0,False,93
status_crosstab,retain,comparison_analysis_universe,isolated,pop20_eq_0,False,127
status_crosstab,retain,comparison_analysis_universe,redundant,pop20_eq_0,False,40439
status_crosstab,retain,comparison_analysis_universe,fragile,land_area_m2_eq_0,False,14722
status_crosstab,retain,comparison_analysis_universe,inundated,land_area_m2_eq_0,False,93
status_crosstab,retain,comparison_analysis_universe,isolated,land_area_m2_eq_0,False,127
status_crosstab,retain,comparison_analysis_universe,redundant,land_area_m2_eq_0,False,40439
