check,bridge_rule,slr_ft,value,previous_value,violation_magnitude,verdict
inundated_non_decreasing,intersect,0,1178,,0,PASS
inundated_non_decreasing,intersect,1,1291,1178,0,PASS
inundated_non_decreasing,intersect,2,1490,1291,0,PASS
inundated_non_decreasing,intersect,3,2302,1490,0,PASS
inundated_non_decreasing,intersect,4,4001,2302,0,PASS
inundated_non_decreasing,intersect,5,7578,4001,0,PASS
inundated_non_decreasing,intersect,6,14729,7578,0,PASS
inundated_non_decreasing,approach,0,1178,,0,PASS
inundated_non_decreasing,approach,1,1291,1178,0,PASS
inundated_non_decreasing,approach,2,1490,1291,0,PASS
inundated_non_decreasing,approach,3,2302,1490,0,PASS
inundated_non_decreasing,approach,4,4001,2302,0,PASS
inundated_non_decreasing,approach,5,7578,4001,0,PASS
inundated_non_decreasing,approach,6,14729,7578,0,PASS
inundated_non_decreasing,retain,0,1178,,0,PASS
inundated_non_decreasing,retain,1,1291,1178,0,PASS
inundated_non_decreasing,retain,2,1490,1291,0,PASS
inundated_non_decreasing,retain,3,2302,1490,0,PASS
inundated_non_decreasing,retain,4,4001,2302,0,PASS
inundated_non_decreasing,retain,5,7578,4001,0,PASS
inundated_non_decreasing,retain,6,14729,7578,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,0,retain=19068;approach=19068;intersect=19606,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,1,retain=19128;approach=19128;intersect=19670,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,2,retain=19660;approach=19660;intersect=20151,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,3,retain=21031;approach=21031;intersect=21433,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,4,retain=22972;approach=22972;intersect=23391,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,5,retain=27137;approach=27137;intersect=27693,,0,PASS
fragile_or_worse_order_retain_le_approach_le_intersect,all,6,retain=35182;approach=35182;intersect=35674,,0,PASS
