bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta
intersect,0,baseline_status_redundant_blocks,50918.0,blocks,all_blocks,not_applicable,,
intersect,0,baseline_status_redundant_population,3683432.0,persons,all_blocks,person_scenario,,
intersect,0,baseline_status_redundant_population,3683432.0,persons,all_blocks,unique_person,,
intersect,0,baseline_status_fragile_blocks,17989.0,blocks,all_blocks,not_applicable,,
intersect,0,baseline_status_fragile_population,2392367.0,persons,all_blocks,person_scenario,,
intersect,0,baseline_status_fragile_population,2392367.0,persons,all_blocks,unique_person,,
intersect,0,baseline_status_isolated_blocks,439.0,blocks,all_blocks,not_applicable,,
intersect,0,baseline_status_isolated_population,40532.0,persons,all_blocks,person_scenario,,
intersect,0,baseline_status_isolated_population,40532.0,persons,all_blocks,unique_person,,
intersect,0,baseline_status_inundated_blocks,1178.0,blocks,all_blocks,not_applicable,,
intersect,0,baseline_status_inundated_population,20155.0,persons,all_blocks,person_scenario,,
intersect,0,baseline_status_inundated_population,20155.0,persons,all_blocks,unique_person,,
intersect,0,baseline_status_unclassified_blocks,171.0,blocks,all_blocks,not_applicable,,
intersect,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,person_scenario,,
intersect,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,unique_person,,
intersect,0,baseline_fragile_share,0.25445929697998443,share,all_blocks,not_applicable,0.247,0.007459296979984431
intersect,0,new_fragile_blocks,0.0,blocks,all_blocks,not_applicable,,
intersect,0,new_fragile_population,0.0,persons,all_blocks,person_scenario,,
intersect,0,new_fragile_population,0.0,persons,all_blocks,unique_person,,
intersect,0,new_isolated_blocks,0.0,blocks,all_blocks,not_applicable,,
intersect,0,new_isolated_population,0.0,persons,all_blocks,person_scenario,,
intersect,0,new_isolated_population,0.0,persons,all_blocks,unique_person,,
intersect,0,new_inundated_blocks,0.0,blocks,all_blocks,not_applicable,,
intersect,0,new_inundated_population,0.0,persons,all_blocks,person_scenario,,
intersect,0,new_inundated_population,0.0,persons,all_blocks,unique_person,,
