slr_ft,baseline_status,scenario_status,n_blocks_own
1,fragile,fragile,17399
1,fragile,inundated,57
1,fragile,isolated,2
1,inundated,inundated,1095
1,isolated,inundated,19
1,isolated,isolated,2451
1,redundant,fragile,15
1,redundant,inundated,31
1,redundant,isolated,8
1,redundant,redundant,49618
2,fragile,fragile,17133
2,fragile,inundated,129
2,fragile,isolated,196
2,inundated,inundated,1095
2,isolated,inundated,47
2,isolated,isolated,2423
2,redundant,fragile,154
2,redundant,inundated,132
2,redundant,isolated,153
2,redundant,redundant,49233
3,fragile,fragile,16557
3,fragile,inundated,390
3,fragile,isolated,511
3,inundated,inundated,1095
3,isolated,inundated,141
3,isolated,isolated,2329
3,redundant,fragile,532
3,redundant,inundated,613
3,redundant,isolated,578
3,redundant,redundant,47949
4,fragile,fragile,15738
4,fragile,inundated,893
4,fragile,isolated,827
4,inundated,inundated,1095
4,isolated,inundated,280
4,isolated,isolated,2190
4,redundant,fragile,730
4,redundant,inundated,1666
4,redundant,isolated,1111
4,redundant,redundant,46165
5,fragile,fragile,14417
5,fragile,inundated,1856
5,fragile,isolated,1185
5,inundated,inundated,1095
5,isolated,inundated,478
5,isolated,isolated,1992
5,redundant,fragile,1302
5,redundant,inundated,4156
5,redundant,isolated,2297
5,redundant,redundant,41917
6,fragile,fragile,12105
6,fragile,inundated,3648
6,fragile,isolated,1705
6,inundated,inundated,1095
6,isolated,inundated,754
6,isolated,isolated,1716
6,redundant,fragile,1403
6,redundant,inundated,9414
6,redundant,isolated,4834
6,redundant,redundant,34021
