slr_ft,baseline_status,scenario_status,n_blocks,population_pop20
1,fragile,fragile,17271,2378917
1,fragile,inundated,60,3589
1,fragile,isolated,4,352
1,inundated,inundated,188,20053
1,isolated,inundated,1,0
1,isolated,isolated,162,18126
1,redundant,fragile,5,56
1,redundant,inundated,24,1264
1,redundant,isolated,9,262
1,redundant,redundant,50797,3713069
2,fragile,fragile,17073,2355200
2,fragile,inundated,105,9254
2,fragile,isolated,157,18404
2,inundated,inundated,188,20053
2,isolated,inundated,10,1655
2,isolated,isolated,153,16471
2,redundant,fragile,203,12988
2,redundant,inundated,134,6526
2,redundant,isolated,215,15945
2,redundant,redundant,50283,3679192
3,fragile,fragile,16571,2262414
3,fragile,inundated,314,32516
3,fragile,isolated,450,87928
3,inundated,inundated,188,20053
3,isolated,inundated,35,4701
3,isolated,isolated,128,13425
3,redundant,fragile,475,40500
3,redundant,inundated,674,49088
3,redundant,isolated,749,64761
3,redundant,redundant,48937,3560302
4,fragile,fragile,15847,2140437
4,fragile,inundated,771,107857
4,fragile,isolated,717,134564
4,inundated,inundated,188,20053
4,isolated,inundated,69,7928
4,isolated,isolated,94,10198
4,redundant,fragile,731,57430
4,redundant,inundated,1761,135581
4,redundant,isolated,1262,105277
4,redundant,redundant,47081,3416363
5,fragile,fragile,14607,1963584
5,fragile,inundated,1668,247647
5,fragile,isolated,1060,171627
5,inundated,inundated,188,20053
5,isolated,inundated,107,9282
5,isolated,isolated,56,8844
5,redundant,fragile,1212,82627
5,redundant,inundated,4234,318336
5,redundant,isolated,2361,182212
5,redundant,redundant,43028,3131476
6,fragile,fragile,12366,1590579
6,fragile,inundated,3413,546930
6,fragile,isolated,1556,245349
6,inundated,inundated,188,20053
6,isolated,inundated,129,10136
6,isolated,isolated,34,7990
6,redundant,fragile,1376,90028
6,redundant,inundated,9472,769821
6,redundant,isolated,4899,396417
6,redundant,redundant,35088,2458385
