slr_ft,baseline_status,scenario_status,n_blocks,population_pop20
1,fragile,fragile,17534,2388490
1,fragile,inundated,58,3217
1,fragile,isolated,2,84
1,inundated,inundated,188,20053
1,isolated,inundated,5,372
1,isolated,isolated,431,40160
1,redundant,fragile,11,150
1,redundant,inundated,22,1264
1,redundant,isolated,10,262
1,redundant,redundant,50260,3681636
2,fragile,fragile,17318,2369164
2,fragile,inundated,108,8692
2,fragile,isolated,168,13935
2,inundated,inundated,188,20053
2,isolated,inundated,21,2440
2,isolated,isolated,415,38092
2,redundant,fragile,214,12494
2,redundant,inundated,120,6303
2,redundant,isolated,173,14476
2,redundant,redundant,49796,3650039
3,fragile,fragile,16803,2272997
3,fragile,inundated,313,29198
3,fragile,isolated,478,89596
3,inundated,inundated,188,20053
3,isolated,inundated,94,9844
3,isolated,isolated,342,30688
3,redundant,fragile,480,33977
3,redundant,inundated,616,47263
3,redundant,isolated,668,66772
3,redundant,redundant,48539,3535300
4,fragile,fragile,15998,2150980
4,fragile,inundated,777,103656
4,fragile,isolated,819,137155
4,inundated,inundated,188,20053
4,isolated,inundated,195,17619
4,isolated,isolated,241,22913
4,redundant,fragile,780,54298
4,redundant,inundated,1629,130091
4,redundant,isolated,1227,99862
4,redundant,redundant,46667,3399061
5,fragile,fragile,14718,1971015
5,fragile,inundated,1681,244065
5,fragile,isolated,1195,176711
5,inundated,inundated,188,20053
5,isolated,inundated,294,24425
5,isolated,isolated,142,16107
5,redundant,fragile,1364,87930
5,redundant,inundated,4034,306775
5,redundant,isolated,2430,179376
5,redundant,redundant,42475,3109231
6,fragile,fragile,12445,1594846
6,fragile,inundated,3451,544620
6,fragile,isolated,1698,252325
6,inundated,inundated,188,20053
6,isolated,inundated,350,26743
6,isolated,isolated,86,13789
6,redundant,fragile,1323,88320
6,redundant,inundated,9213,755524
6,redundant,isolated,5163,398951
6,redundant,redundant,34604,2440517
