slr_ft,baseline_status,scenario_status,n_blocks,population_pop20
1,fragile,fragile,17292,2381732
1,fragile,inundated,60,3589
1,fragile,isolated,4,352
1,inundated,inundated,188,20053
1,isolated,inundated,1,0
1,isolated,isolated,141,15311
1,redundant,fragile,5,56
1,redundant,inundated,24,1264
1,redundant,isolated,9,262
1,redundant,redundant,50797,3713069
2,fragile,fragile,17088,2357931
2,fragile,inundated,105,9254
2,fragile,isolated,163,18488
2,inundated,inundated,188,20053
2,isolated,inundated,10,1655
2,isolated,isolated,132,13656
2,redundant,fragile,203,12988
2,redundant,inundated,134,6526
2,redundant,isolated,215,15945
2,redundant,redundant,50283,3679192
3,fragile,fragile,16584,2265012
3,fragile,inundated,317,32645
3,fragile,isolated,455,88016
3,inundated,inundated,188,20053
3,isolated,inundated,32,4572
3,isolated,isolated,110,10739
3,redundant,fragile,476,41683
3,redundant,inundated,674,49088
3,redundant,isolated,748,63578
3,redundant,redundant,48937,3560302
4,fragile,fragile,15857,2141205
4,fragile,inundated,778,109832
4,fragile,isolated,721,134636
4,inundated,inundated,188,20053
4,isolated,inundated,62,5953
4,isolated,isolated,80,9358
4,redundant,fragile,732,58613
4,redundant,inundated,1761,135581
4,redundant,isolated,1261,104094
4,redundant,redundant,47081,3416363
5,fragile,fragile,14615,1964236
5,fragile,inundated,1677,249639
5,fragile,isolated,1064,171798
5,inundated,inundated,188,20053
5,isolated,inundated,98,7290
5,isolated,isolated,44,8021
5,redundant,fragile,1214,82979
5,redundant,inundated,4234,318336
5,redundant,isolated,2359,181860
5,redundant,redundant,43028,3131476
6,fragile,fragile,12374,1591231
6,fragile,inundated,3424,549038
6,fragile,isolated,1558,245404
6,inundated,inundated,188,20053
6,isolated,inundated,118,8028
6,isolated,isolated,24,7283
6,redundant,fragile,1377,90028
6,redundant,inundated,9472,769821
6,redundant,isolated,4898,396417
6,redundant,redundant,35088,2458385
