slr_ft,scenario_status,n_blocks,pop20,share_of_blocks,share_of_pop20
0,unclassified,0,0,0.0,0.0
0,inundated,188,20053,0.0027436844179156753,0.003268256143402337
0,isolated,163,18126,0.0023788327665971018,0.002954191934140067
0,fragile,17335,2382858,0.2529881350242991,0.38836035991399825
0,redundant,50835,3714651,0.7418893477911881,0.6054171920084593
1,unclassified,0,0,0.0,0.0
1,inundated,273,24906,0.003984180032398827,0.004059202488783654
1,isolated,175,18740,0.002553961559230017,0.003054262211507495
1,fragile,17276,2378973,0.2521270851271873,0.387727179087333
1,redundant,50797,3713069,0.7413347732811839,0.6051593562123758
2,unclassified,0,0,0.0,0.0
2,inundated,437,37488,0.006377606865048671,0.0061098282702771066
2,isolated,525,50820,0.0076618846776900515,0.008282689732593966
2,fragile,17276,2368188,0.2521270851271873,0.38596942999709244
2,redundant,50283,3679192,0.733833423330074,0.5996380520000365
3,unclassified,0,0,0.0,0.0
3,inundated,1211,106358,0.017673413989871718,0.017334323388021034
3,isolated,1327,166114,0.0193663256519899,0.027073410512398935
3,fragile,17046,2302914,0.2487704499350564,0.37533101422366977
3,redundant,48937,3560302,0.7141898104230819,0.5802612518759103
4,unclassified,0,0,0.0,0.0
4,inundated,2789,271419,0.0407028502211001,0.044236115004543906
4,isolated,2073,250039,0.030253498927336146,0.04075158319653802
4,fragile,16578,2197867,0.2419404270223727,0.35821035880572805
4,redundant,47081,3416363,0.6871032238291911,0.55680194299319
5,unclassified,0,0,0.0,0.0
5,inundated,6197,595318,0.09043942732884809,0.09702546804857091
5,isolated,3477,362683,0.050743567665387256,0.05911040457076696
5,fragile,15819,2046211,0.2308635308883408,0.3334933262577889
5,redundant,43028,3131476,0.6279534741174239,0.5103708011228733
6,unclassified,0,0,0.0,0.0
6,inundated,13202,1346940,0.1926708600283125,0.21952550390437062
6,isolated,6489,649756,0.09470089461624903,0.10589782270545699
6,fragile,13742,1680607,0.20055165569679367,0.27390685445544166
6,redundant,35088,2458385,0.5120765896586448,0.4006698189347307
