slr_ft,transition,n_blocks,pop20,share_of_transition_blocks,share_of_transition_pop20
1,Redundant to fragile,15,485,0.13274336283185842,0.11390324095819633
1,Redundant to isolated,8,254,0.07079646017699115,0.05965241897604509
1,Redundant to inundated,31,488,0.2743362831858407,0.11460779708783467
1,Fragile to isolated,2,42,0.017699115044247787,0.00986378581493659
1,Fragile to inundated,57,2989,0.504424778761062,0.7019727571629873
2,Redundant to fragile,154,9421,0.20157068062827224,0.17967349429759316
2,Redundant to isolated,153,11109,0.20026178010471204,0.21186634626387457
2,Redundant to inundated,132,5667,0.17277486910994763,0.10807872754319717
2,Fragile to isolated,196,19325,0.25654450261780104,0.3685585688675287
2,Fragile to inundated,129,6912,0.168848167539267,0.13182286302780638
3,Redundant to fragile,532,38423,0.2027439024390244,0.153613349964818
3,Redundant to isolated,578,61289,0.22027439024390244,0.24503054436128702
3,Redundant to inundated,613,39850,0.23361280487804878,0.15931842896437023
3,Fragile to isolated,511,76720,0.19474085365853658,0.30672295784558307
3,Fragile to inundated,390,33846,0.1486280487804878,0.13531471886394167
4,Redundant to fragile,730,52632,0.13965946049359096,0.10753909713907425
4,Redundant to isolated,1111,97125,0.21255022001147886,0.19844837379602878
4,Redundant to inundated,1666,114846,0.31872967285249665,0.2346563905995235
4,Fragile to isolated,827,117168,0.15821695044958867,0.23940076253212975
4,Fragile to inundated,893,107651,0.17084369619284484,0.2199553759332437
5,Redundant to fragile,1302,82351,0.12060022230455725,0.08778104783822474
5,Redundant to isolated,2297,161205,0.21276398666172658,0.17183451101700065
5,Redundant to inundated,4156,307735,0.38495739162652837,0.32802638409364904
5,Fragile to isolated,1185,152713,0.10976287513894036,0.1627825667996602
5,Fragile to inundated,1856,234137,0.1719155242682475,0.2495754902514654
6,Redundant to fragile,1403,87937,0.06679680060940774,0.045333748503043406
6,Redundant to isolated,4834,344714,0.23014663873547897,0.17770878903622028
6,Redundant to inundated,9414,750489,0.44820034279184917,0.3868960685524926
6,Fragile to isolated,1705,226955,0.08117501428299372,0.11700104496978764
6,Fragile to inundated,3648,529674,0.17368120358027042,0.2730603489384561
