slr_ft,transition,n_blocks,pop20,share_of_transition_blocks,share_of_transition_pop20
1,Redundant to fragile,5,56,0.049019607843137254,0.010139416983523447
1,Redundant to isolated,9,262,0.08823529411764706,0.047437986601484704
1,Redundant to inundated,24,1264,0.23529411764705882,0.22886112619952925
1,Fragile to isolated,4,352,0.0392156862745098,0.06373347818214739
1,Fragile to inundated,60,3589,0.5882352941176471,0.6498279920333152
2,Redundant to fragile,203,12988,0.2493857493857494,0.20577657366478128
2,Redundant to isolated,215,15945,0.2641277641277641,0.25262607538381104
2,Redundant to inundated,134,6526,0.16461916461916462,0.10339528177828478
2,Fragile to isolated,157,18404,0.1928746928746929,0.2915854682573633
2,Fragile to inundated,105,9254,0.128992628992629,0.14661660091575962
3,Redundant to fragile,475,40500,0.17843726521412473,0.14738366697841648
3,Redundant to isolated,749,64761,0.28136739293764085,0.23567194215282047
3,Redundant to inundated,674,49088,0.2531930879038317,0.1786362825836175
3,Fragile to isolated,450,87928,0.169045830202855,0.31997903876736306
3,Fragile to inundated,314,32516,0.1179564237415477,0.11832906951778248
4,Redundant to fragile,731,57430,0.1394505913773369,0.10621239890588098
4,Redundant to isolated,1262,105277,0.240747806180847,0.1947017711930077
4,Redundant to inundated,1761,135581,0.33594048073254484,0.2507467047894524
4,Fragile to isolated,717,134564,0.13677985501716902,0.2488658409606646
4,Fragile to inundated,771,107857,0.14708126669210225,0.19947328415099433
5,Redundant to fragile,1212,82627,0.11504508780256288,0.08242514083010707
5,Redundant to isolated,2361,182212,0.22411010915994306,0.1817668529770592
5,Redundant to inundated,4234,318336,0.4018984337921215,0.317558299723976
5,Fragile to isolated,1060,171627,0.1006169909824395,0.17120771231254658
5,Fragile to inundated,1668,247647,0.15832937826293308,0.2470419941563112
6,Redundant to fragile,1376,90028,0.0664220892064105,0.043947289417611037
6,Redundant to isolated,4899,396417,0.23648387719636996,0.19351149230307366
6,Redundant to inundated,9472,769821,0.45723112569994206,0.37578915767044413
6,Fragile to isolated,1556,245349,0.07511102529445839,0.11976744469855434
6,Fragile to inundated,3413,546930,0.1647518826028191,0.26698461591031686
