slr_ft,baseline_status,transition,n_blocks,denominator_blocks,block_transition_probability,pop20,denominator_pop20,pop20_transition_share
1,redundant,Redundant to fragile,15,49672,0.00030198099532936063,485,3504100,0.00013840929197226107
1,redundant,Redundant to isolated,8,49672,0.00016105653084232566,254,3504100,7.248651579578209e-05
1,redundant,Redundant to inundated,31,49672,0.000624094057014012,488,3504100,0.00013926543192260496
1,fragile,Fragile to isolated,2,17458,0.00011456065986940085,42,2238178,1.8765263531318777e-05
1,fragile,Fragile to inundated,57,17458,0.003264978806277924,2989,2238178,0.0013354612546455198
2,redundant,Redundant to fragile,154,49672,0.0031003382187147687,9421,3504100,0.00268856482406324
2,redundant,Redundant to isolated,153,49672,0.003080206152359478,11109,3504100,0.003170286236123398
2,redundant,Redundant to inundated,132,49672,0.0026574327588983733,5667,3504100,0.0016172483661995947
2,fragile,Fragile to isolated,196,17458,0.011226944667201283,19325,2238178,0.008634255184350842
2,fragile,Fragile to inundated,129,17458,0.007389162561576354,6912,2238178,0.003088226226868462
3,redundant,Redundant to fragile,532,49672,0.010710259301014656,38423,3504100,0.010965155104021004
3,redundant,Redundant to isolated,578,49672,0.011636334353358029,61289,3504100,0.01749065380554208
3,redundant,Redundant to inundated,613,49672,0.012340956675793203,39850,3504100,0.011372392340401244
3,fragile,Fragile to isolated,511,17458,0.029270248596631916,76720,2238178,0.034277881383875636
3,fragile,Fragile to inundated,390,17458,0.022339328674533164,33846,2238178,0.01512212165430989
4,redundant,Redundant to fragile,730,49672,0.014696408439362216,52632,3504100,0.015020119288833081
4,redundant,Redundant to isolated,1111,49672,0.022366725720727974,97125,3504100,0.02771753089238321
4,redundant,Redundant to inundated,1666,49672,0.03354002254791432,114846,3504100,0.032774749579064524
4,fragile,Fragile to isolated,827,17458,0.047370832855997254,117168,2238178,0.0523497237485133
4,fragile,Fragile to inundated,893,17458,0.05115133463168748,107651,2238178,0.048097604390714234
5,redundant,Redundant to fragile,1302,49672,0.026211950394588502,82351,3504100,0.02350132701692303
5,redundant,Redundant to isolated,2297,49672,0.04624335641810275,161205,3504100,0.046004680231728545
5,redundant,Redundant to inundated,4156,49672,0.08366886777258818,307735,3504100,0.08782140920635827
5,fragile,Fragile to isolated,1185,17458,0.06787719097262,152713,2238178,0.06823094499186391
5,fragile,Fragile to inundated,1856,17458,0.10631229235880399,234137,2238178,0.10461053589124726
6,redundant,Redundant to fragile,1403,49672,0.02824528909647286,87937,3504100,0.025095459604463344
6,redundant,Redundant to isolated,4834,49672,0.09731840876147528,344714,3504100,0.09837447561428042
6,redundant,Redundant to inundated,9414,49672,0.18952327266870672,750489,3504100,0.21417453839787678
6,fragile,Fragile to isolated,1705,17458,0.09766296253866422,226955,2238178,0.10140167582739175
6,fragile,Fragile to inundated,3648,17458,0.20895864360178715,529674,2238178,0.2366540998973272
