slr_ft,arm,bridge_rule,n_bridge_structures,n_bridge_structures_removed,n_bridge_structures_retained,n_bridge_edges_removed,n_non_bridge_edges_removed,n_total_edges_removed,source_manifest_lines,source_bridge_summary
0,intersect,intersect,3482,464,3018,1041,437,1478,2-12,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_0ft.csv
0,approach,approach,3482,200,3282,660,437,1097,2-12,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_0ft.csv
0,retain,retain,3482,0,3482,0,437,437,2-12,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_0ft.csv
1,intersect,intersect,3482,482,3000,1074,798,1872,13-22,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_1ft.csv
1,approach,approach,3482,203,3279,663,798,1461,13-22,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_1ft.csv
1,retain,retain,3482,0,3482,0,798,798,13-22,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_1ft.csv
2,intersect,intersect,3482,506,2976,1127,7431,8558,23-32,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_2ft.csv
2,approach,approach,3482,212,3270,672,7431,8103,23-32,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_2ft.csv
2,retain,retain,3482,0,3482,0,7431,7431,23-32,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_2ft.csv
3,intersect,intersect,3482,545,2937,1294,37571,38865,33-42,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_3ft.csv
3,approach,approach,3482,239,3243,775,37571,38346,33-42,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_3ft.csv
3,retain,retain,3482,0,3482,0,37571,37571,33-42,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_3ft.csv
4,intersect,intersect,3482,822,2660,1929,87951,89880,43-52,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_4ft.csv
4,approach,approach,3482,304,3178,891,87951,88842,43-52,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_4ft.csv
4,retain,retain,3482,0,3482,0,87951,87951,43-52,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_4ft.csv
5,intersect,intersect,3482,1065,2417,2474,190226,192700,53-62,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_5ft.csv
5,approach,approach,3482,399,3083,1050,190226,191276,53-62,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_5ft.csv
5,retain,retain,3482,0,3482,0,190226,190226,53-62,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_5ft.csv
6,intersect,intersect,3482,1408,2074,3440,431250,434690,63-72,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/bridge_structures_slr_6ft.csv
6,approach,approach,3482,575,2907,1578,431250,432828,63-72,data/processed/access/edited/della_runs/positive_layer_20260814_approach/bridge_structures_slr_6ft.csv
6,retain,retain,3482,0,3482,0,431250,431250,63-72,data/processed/access/edited/della_runs/positive_layer_20260814_retain/bridge_structures_slr_6ft.csv
