ordinal,column,comparison_category,present,source
1,block_geoid,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
2,block_group_geoid,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
3,tract_geoid,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
4,block,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
5,county_fips,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
6,county_name,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
7,pop20,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
8,land_area_m2,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
9,analysis_eligible,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
10,exclusion_reason,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
11,slr_ft,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
12,slr_layer_name,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
13,origin_node_id,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
14,origin_snap_distance_m,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
15,origin_snap_exceeds_threshold,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
16,origin_in_lcc,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
17,origin_geometry_method,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
18,boundary_flag,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
19,boundary_distance_m,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
20,component_touches_boundary,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
21,block_centroid_inundated,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
22,block_centroid_isolated,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
23,block_centroid_redundant,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
24,block_centroid_fragile,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
25,block_centroid_unclassified,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
26,n_reachable_services,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
27,n_reachable_service_nodes,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
28,max_edge_disjoint_paths_any_service,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
29,nearest_reachable_service_type,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
30,nearest_reachable_service_id,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
31,service_snap_rule,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
32,bridge_rule_applied,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
33,nearby_bridge_structure_id,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
34,nearby_bridge_structure_distance_m,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
35,nearby_bridge_structure_retained,expected_addition_12,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
36,baseline_shortest_path_distance_m,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
37,dry_shortest_path_distance_m,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
38,detour_ratio,old_26,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
