arm,slr_ft,n_blocks,total_population,unclassified_count,unclassified_block_share,unclassified_block_share_pct,unclassified_population,unclassified_population_share,unclassified_population_share_pct,zero_population_unclassified,exclusion_reason,reason_count,reason_count_share,reason_population,reason_population_share,source
approach,0,70695,6138333,171,0.002418841502,0.2418841502,1847,0.000300896025,0.0300896025,159,origin_snap_failed,171,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,1,70695,6138333,156,0.002206662423,0.2206662423,1847,0.000300896025,0.0300896025,144,origin_snap_failed,156,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,2,70695,6138333,150,0.002121790791,0.2121790791,1847,0.000300896025,0.0300896025,138,origin_snap_failed,150,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,3,70695,6138333,142,0.002008628616,0.2008628616,1847,0.000300896025,0.0300896025,130,origin_snap_failed,142,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,4,70695,6138333,141,0.001994483344,0.1994483344,1847,0.000300896025,0.0300896025,129,origin_snap_failed,141,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,5,70695,6138333,132,0.001867175896,0.1867175896,1847,0.000300896025,0.0300896025,120,origin_snap_failed,132,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
approach,6,70695,6138333,115,0.001626706273,0.1626706273,519,0.000084550643,0.0084550643,107,origin_snap_failed,115,1,519,1,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv
intersect,0,70695,6138333,171,0.002418841502,0.2418841502,1847,0.000300896025,0.0300896025,159,origin_snap_failed,171,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,1,70695,6138333,156,0.002206662423,0.2206662423,1847,0.000300896025,0.0300896025,144,origin_snap_failed,156,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,2,70695,6138333,150,0.002121790791,0.2121790791,1847,0.000300896025,0.0300896025,138,origin_snap_failed,150,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,3,70695,6138333,142,0.002008628616,0.2008628616,1847,0.000300896025,0.0300896025,130,origin_snap_failed,142,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,4,70695,6138333,141,0.001994483344,0.1994483344,1847,0.000300896025,0.0300896025,129,origin_snap_failed,141,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,5,70695,6138333,132,0.001867175896,0.1867175896,1847,0.000300896025,0.0300896025,120,origin_snap_failed,132,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
intersect,6,70695,6138333,115,0.001626706273,0.1626706273,519,0.000084550643,0.0084550643,107,origin_snap_failed,115,1,519,1,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.csv
retain,0,70695,6138333,171,0.002418841502,0.2418841502,1847,0.000300896025,0.0300896025,159,origin_snap_failed,171,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,1,70695,6138333,156,0.002206662423,0.2206662423,1847,0.000300896025,0.0300896025,144,origin_snap_failed,156,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,2,70695,6138333,150,0.002121790791,0.2121790791,1847,0.000300896025,0.0300896025,138,origin_snap_failed,150,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,3,70695,6138333,142,0.002008628616,0.2008628616,1847,0.000300896025,0.0300896025,130,origin_snap_failed,142,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,4,70695,6138333,141,0.001994483344,0.1994483344,1847,0.000300896025,0.0300896025,129,origin_snap_failed,141,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,5,70695,6138333,132,0.001867175896,0.1867175896,1847,0.000300896025,0.0300896025,120,origin_snap_failed,132,1,1847,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
retain,6,70695,6138333,115,0.001626706273,0.1626706273,519,0.000084550643,0.0084550643,107,origin_snap_failed,115,1,519,1,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.csv
