transition,term,covariate,arm,estimate,sign,p.value,significant_p_lt_0_05,n_boot,n_boot_fail,sign_consistent_across_arms,significance_preserved_across_arms,any_sign_flip,any_significance_classification_difference,approach_estimate,approach_sign,approach_p_value,approach_significant,intersect_estimate,intersect_sign,intersect_p_value,intersect_significant,retain_estimate,retain_sign,retain_p_value,retain_significant,arm_vs_approach_sign_flip,arm_vs_approach_significance_change,approach_significance_lost_in_this_arm,approach_significance_gained_in_this_arm,arm_minus_approach_estimate,source_workbook
Redundant -> Fragile,z_log_median_income,log_median_income,intersect,0.0016090009769148,positive,0.182989375449534,False,49,0,True,False,False,True,0.00251190834760991,positive,0.00696314956670199,True,0.0016090009769148,positive,0.182989375449534,False,0.00250516132598715,positive,0.00707903675690216,True,False,lost_in_intersect_vs_approach,True,False,-0.00090290737069511,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Fragile,z_log_median_income,log_median_income,approach,0.00251190834760991,positive,0.00696314956670199,True,49,0,True,False,False,True,0.00251190834760991,positive,0.00696314956670199,True,0.0016090009769148,positive,0.182989375449534,False,0.00250516132598715,positive,0.00707903675690216,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Fragile,z_log_median_income,log_median_income,retain,0.00250516132598715,positive,0.00707903675690216,True,49,0,True,False,False,True,0.00251190834760991,positive,0.00696314956670199,True,0.0016090009769148,positive,0.182989375449534,False,0.00250516132598715,positive,0.00707903675690216,True,False,preserved_significant,False,False,-6.74702162275966e-06,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Fragile,z_no_vehicle_share,no_vehicle_share,intersect,-0.00110721948172509,negative,0.24467866788978,False,49,0,True,True,False,False,-0.00069196025705529,negative,0.414135054427015,False,-0.00110721948172509,negative,0.24467866788978,False,-0.000687830622758916,negative,0.416558033379427,False,False,preserved_not_significant,False,False,-0.0004152592246698,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Fragile,z_no_vehicle_share,no_vehicle_share,approach,-0.00069196025705529,negative,0.414135054427015,False,49,0,True,True,False,False,-0.00069196025705529,negative,0.414135054427015,False,-0.00110721948172509,negative,0.24467866788978,False,-0.000687830622758916,negative,0.416558033379427,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Fragile,z_no_vehicle_share,no_vehicle_share,retain,-0.000687830622758916,negative,0.416558033379427,False,49,0,True,True,False,False,-0.00069196025705529,negative,0.414135054427015,False,-0.00110721948172509,negative,0.24467866788978,False,-0.000687830622758916,negative,0.416558033379427,False,False,preserved_not_significant,False,False,4.12963429637396e-06,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Fragile,z_pct_age_65plus,pct_age_65plus,intersect,0.00326490334741035,positive,0.00741937459464122,True,49,0,True,True,False,False,0.00435631214436828,positive,3.31251151053464e-06,True,0.00326490334741035,positive,0.00741937459464122,True,0.00435877043409529,positive,3.20895477015023e-06,True,False,preserved_significant,False,False,-0.00109140879695793,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Fragile,z_pct_age_65plus,pct_age_65plus,approach,0.00435631214436828,positive,3.31251151053464e-06,True,49,0,True,True,False,False,0.00435631214436828,positive,3.31251151053464e-06,True,0.00326490334741035,positive,0.00741937459464122,True,0.00435877043409529,positive,3.20895477015023e-06,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Fragile,z_pct_age_65plus,pct_age_65plus,retain,0.00435877043409529,positive,3.20895477015023e-06,True,49,0,True,True,False,False,0.00435631214436828,positive,3.31251151053464e-06,True,0.00326490334741035,positive,0.00741937459464122,True,0.00435877043409529,positive,3.20895477015023e-06,True,False,preserved_significant,False,False,2.45828972701007e-06,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Fragile,z_pct_black_nh,pct_black_nh,intersect,-0.0064223040363046,negative,2.7847119187386e-10,True,49,0,True,True,False,False,-0.00687929233689501,negative,1.29762617606165e-09,True,-0.0064223040363046,negative,2.7847119187386e-10,True,-0.00691239229896322,negative,1.15583626461237e-09,True,False,preserved_significant,False,False,0.00045698830059041,outputs/tables/ame_bootstrap_results_intersect.xlsx
