comparison,other_arm,slr_ft,differing_blocks_total,max_effect_variable,max_standardized_mean_difference,max_absolute_standardized_mean_difference,max_effect_differing_nonmissing_blocks,covariates_abs_smd_ge_0_10,covariates_abs_smd_ge_0_20,distinctive_flag_abs_smd_ge_0_20_and_n_ge_100,small_differing_subset_lt_100_blocks,criterion,source_detail
approach_vs_intersect,intersect,0,744,log_median_income,0.729050920995,0.729050920995,668,5,5,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,1,744,log_median_income,0.713152520332,0.713152520332,666,5,5,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,2,666,pct_hispanic,-0.725949769716,0.725949769716,665,5,5,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,3,545,pct_hispanic,-0.727119083299,0.727119083299,544,6,6,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,4,558,pct_black_nh,-0.286817459315,0.286817459315,558,2,2,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,5,694,renter_share,0.222505070001,0.222505070001,690,2,1,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_intersect,intersect,6,681,pct_black_nh,-0.328579999705,0.328579999705,680,5,4,True,False,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,0,21,log_median_income,0.702453826994,0.702453826994,21,5,5,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,1,21,log_median_income,0.702453826994,0.702453826994,21,5,5,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,2,15,pct_hispanic,-0.573406758652,0.573406758652,15,6,4,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,3,14,pct_hispanic,-0.552928428816,0.552928428816,14,6,2,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,4,11,pct_hispanic,-0.657108842008,0.657108842008,11,1,1,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,5,10,pct_hispanic,-0.707354485909,0.707354485909,10,5,4,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
approach_vs_retain,retain,6,9,no_vehicle_share,-0.47092477825,0.47092477825,9,5,4,False,True,distinctive if any prespecified covariate has |SMD| >= 0.20 with >=100 nonmissing differing blocks,reports/03_disagreement_demographic_comparison.csv
