comparison,other_arm,slr_ft,variable,differing_blocks_total,invariant_blocks_total,differing_blocks_nonmissing,invariant_blocks_nonmissing,differing_missing_blocks,invariant_missing_blocks,differing_block_weighted_mean,invariant_block_weighted_mean,mean_difference_differing_minus_invariant,differing_block_weighted_median,invariant_block_weighted_median,median_difference_differing_minus_invariant,differing_block_weighted_sd,invariant_block_weighted_sd,pooled_descriptive_sd,standardized_mean_difference,absolute_standardized_mean_difference,abs_smd_band,weighting,inference,source_demographics,source_approach,source_other,smd_definition
approach_vs_intersect,intersect,0,pct_black_nh,744,67777,744,67583,0,194,0.0472026371996,0.197539329408,-0.150336692209,0,0.0796963946869,-0.0796963946869,0.15535493883,0.254572096632,0.210881612999,-0.712896160412,0.712896160412,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,0,pct_hispanic,744,67777,744,67583,0,194,0.261666947866,0.44439904221,-0.182732094344,0.174791086351,0.385572139303,-0.210781052953,0.246560423917,0.297331325402,0.273128138158,-0.669034305934,0.669034305934,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,0,renter_share,744,67777,744,67433,0,344,0.27537313337,0.358445202134,-0.0830720687644,0.201716738197,0.297225891678,-0.0955091534803,0.248831068991,0.280261998737,0.265012913677,-0.313464229391,0.313464229391,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,0,log_median_income,744,67777,668,62695,76,5082,11.6168708592,11.2234257125,0.393445146684,11.6960050677,11.2287306383,0.467274429372,0.554425169567,0.524494925142,0.539667580622,0.729050920995,0.729050920995,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,0,pct_age_65plus,744,67777,744,67583,0,194,0.3138602288,0.189908156513,0.123952072286,0.263950892857,0.15609936967,0.107851523187,0.194365919495,0.142701516951,0.170501955416,0.726983288749,0.726983288749,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,0,no_vehicle_share,744,67777,744,67433,0,344,0.0663424029213,0.0711838755101,-0.00484147258877,0.0477326968974,0.0352303523035,0.0125023445939,0.0879961758285,0.0978559694619,0.0930567507486,-0.052027096904,0.052027096904,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,pct_black_nh,744,67777,744,67583,0,194,0.0489669829566,0.197519906281,-0.148552923324,0,0.0794912559618,-0.0794912559618,0.157409275182,0.254569624878,0.21164046615,-0.701911718618,0.701911718618,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,pct_hispanic,744,67777,744,67583,0,194,0.25977636318,0.444419855062,-0.184643491883,0.167297501893,0.385572139303,-0.218274637411,0.245258058003,0.297330309273,0.272540664698,-0.677489695299,0.677489695299,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,renter_share,744,67777,742,67435,2,342,0.277551646262,0.35841876778,-0.080867121518,0.201716738197,0.297225891678,-0.0955091534803,0.248890356588,0.280267916188,0.265043877921,-0.305108430167,0.305108430167,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,log_median_income,744,67777,666,62697,78,5080,11.6077516602,11.223535132,0.384216528113,11.6960050677,11.2287306383,0.467274429372,0.552559443448,0.52459330166,0.538757863372,0.713152520332,0.713152520332,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,pct_age_65plus,744,67777,744,67583,0,194,0.311064897786,0.189938929434,0.121125968353,0.263950892857,0.15609936967,0.107851523187,0.194470980883,0.142726366494,0.170572239972,0.710115364449,0.710115364449,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,1,no_vehicle_share,744,67777,742,67435,2,342,0.0658905137671,0.0711887041422,-0.00529819037506,0.0477326968974,0.0352303523035,0.0125023445939,0.0872998549645,0.0978622908661,0.0927315821346,-0.0571346919043,0.0571346919043,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,pct_black_nh,666,67855,665,67662,1,193,0.0630357508361,0.197208189045,-0.134172438209,0,0.0789473684211,-0.0789473684211,0.173149779741,0.254504816197,0.217662063405,-0.616425462986,0.616425462986,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,pct_hispanic,666,67855,665,67662,1,193,0.246036288031,0.444339312278,-0.198303024247,0.151300236407,0.385572139303,-0.234271902897,0.246745710981,0.297242689221,0.273163561061,-0.725949769716,0.725949769716,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,renter_share,666,67855,663,67514,3,341,0.274820792298,0.358350960415,-0.0835301681171,0.14135021097,0.297405189621,-0.15605497865,0.269951070842,0.280047793205,0.275045766308,-0.303695523979,0.303695523979,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,log_median_income,666,67855,606,62757,60,5098,11.5956521568,11.2240193058,0.371632851067,11.6960050677,11.2287970707,0.46720799699,0.591068625777,0.524434587613,0.558745808514,0.665119711691,0.665119711691,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,pct_age_65plus,666,67855,665,67662,1,193,0.309165329319,0.190099021724,0.119066307596,0.265993265993,0.156172533466,0.109820732528,0.200548460643,0.142790826062,0.174081740964,0.683967812686,0.683967812686,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,2,no_vehicle_share,666,67855,663,67514,3,341,0.0631601050158,0.0712093177033,-0.00804921268743,0.0392156862745,0.0353356890459,0.00387999722857,0.0934717451694,0.0977930186114,0.0956567865709,-0.0841468020825,0.0841468020825,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
