comparison,other_arm,slr_ft,approach_status,other_status,block_count,pop20,share_of_eligible_blocks,share_of_eligible_pop20,is_disagreement,direction,eligible_blocks,eligible_pop20,source_approach,source_other,direction_order_definition
approach_vs_intersect,intersect,0,unclassified,unclassified,0,0,0,0,False,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,unclassified,inundated,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,unclassified,isolated,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,unclassified,fragile,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,unclassified,redundant,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,inundated,unclassified,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,inundated,inundated,188,20053,0.00274368441792,0.0032682561434,False,same,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,inundated,isolated,0,0,0,0,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,inundated,fragile,0,0,0,0,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,inundated,redundant,0,0,0,0,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,isolated,unclassified,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,isolated,inundated,0,0,0,0,True,approach_better,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,isolated,isolated,151,17225,0.00220370397396,0.00280734613624,False,same,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,isolated,fragile,12,901,0.000175128792633,0.000146845797896,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,isolated,redundant,0,0,0,0,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,fragile,unclassified,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,fragile,inundated,0,0,0,0,True,approach_better,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,fragile,isolated,200,19286,0.00291881321055,0.00314324978715,True,approach_better,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,fragile,fragile,17135,2363572,0.250069321814,0.385217110127,False,same,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,fragile,redundant,0,0,0,0,True,approach_worse,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,redundant,unclassified,0,0,0,0,True,not_applicable_unclassified,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
approach_vs_intersect,intersect,0,redundant,inundated,0,0,0,0,True,approach_better,68521,6135688,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,inundated < isolated < fragile < redundant; unclassified is not comparable
