comparison,other_arm,slr_ft,eligible_blocks,eligible_pop20,disagree_blocks,disagree_block_share,disagree_pop20,disagree_pop20_share,same_blocks,same_pop20,approach_better_blocks,approach_better_pop20,approach_worse_blocks,approach_worse_pop20,net_approach_better_minus_worse_blocks,dominant_changed_transition,dominant_changed_transition_blocks,dominant_changed_transition_pop20,source_approach,source_other
approach_vs_intersect,intersect,0,68521,6135688,744,0.0108579851432,51526,0.00839775425348,67777,6084162,732,50625,12,901,720,intersect:fragile -> approach:redundant,447,27318,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,1,68521,6135688,744,0.0108579851432,50980,0.00830876667784,67777,6084708,732,50079,12,901,720,intersect:fragile -> approach:redundant,452,27412,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,2,68521,6135688,666,0.00971964799113,43305,0.00705788821074,67855,6092383,654,42404,12,901,642,intersect:fragile -> approach:redundant,411,25820,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,3,68521,6135688,545,0.00795376599874,46149,0.00752140591243,67976,6089539,535,45381,10,768,525,intersect:fragile -> approach:redundant,364,23671,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,4,68521,6135688,558,0.00814348885743,26220,0.00427335940159,67963,6109468,548,25452,10,768,538,intersect:fragile -> approach:redundant,324,14793,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,5,68521,6135688,694,0.0101282818406,30158,0.00491517821636,67827,6105530,686,29506,8,652,678,intersect:fragile -> approach:redundant,388,19343,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_intersect,intersect,6,68521,6135688,681,0.00993855898192,24088,0.00392588410623,67840,6111600,673,23436,8,652,665,intersect:isolated -> approach:redundant,277,10393,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet
approach_vs_retain,retain,0,68521,6135688,21,0.000306475387108,2815,0.000458791255357,68500,6132873,0,0,21,2815,-21,retain:fragile -> approach:isolated,21,2815,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,1,68521,6135688,21,0.000306475387108,2815,0.000458791255357,68500,6132873,0,0,21,2815,-21,retain:fragile -> approach:isolated,21,2815,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,2,68521,6135688,15,0.000218910990791,2731,0.000445100859105,68506,6132957,0,0,15,2731,-15,retain:fragile -> approach:isolated,15,2731,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,3,68521,6135688,14,0.000204316924738,3781,0.000616230812258,68507,6131907,0,0,14,3781,-14,retain:fragile -> approach:isolated,14,3781,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,4,68521,6135688,11,0.00016053472658,1951,0.000317975751049,68510,6133737,0,0,11,1951,-11,retain:fragile -> approach:isolated,11,1951,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,5,68521,6135688,10,0.000145940660527,1004,0.000163632831396,68511,6134684,0,0,10,1004,-10,retain:fragile -> approach:isolated,10,1004,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
approach_vs_retain,retain,6,68521,6135688,9,0.000131346594475,652,0.000106263551862,68512,6135036,0,0,9,652,-9,retain:fragile -> approach:isolated,9,652,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_retain/block_access_flags_long.parquet
